leaf_type,dominant_plant,min_depth,max_depth,sample_depth,turnover,turnover_n,turnover_growingseason,turnover_wetseason,Latitude,Longitude ,PFT,MAP,MAT
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
evergreen,tree,,,0,,,,,23.16666667,112.525,temperate,1929,
